Country,Value
Albania,55
Armenia,432
Australia,104
Bosnia and Herzegovina,178
Bulgaria,215
Cyprus,19
Denmark,604
Ireland,1730
Estonia,69
Austria,702
Czech Republic,349
Finland,328
France,29778
Georgia,14
Greenland,0
Germany,9026
Greece,191
Croatia,107
Hungary,578
Iceland,10
Italy,34708
Latvia,30
Belarus,377
Lithuania,78
Slovakia,28
Liechtenstein,1
Macedonia,268
Malta,9
Belgium,9733
Andorra,52
Gibraltar,0
Luxembourg,110
Monaco,4
Montenegro,9
Netherlands,6107
Norway,249
Poland,1441
Portugal,1555
Romania,1589
Republic of Moldova,515
Russia,9215
Slovenia,109
Spain,28338
Sweden,5280
Switzerland,1962
Turkey,5065
United Kingdom,43414
Ukraine,1134
San Marino,42
Serbia,265
Holy See (Vatican City),0